Word,Socialness,Concreteness
barometer,1.8695652173913000,4.57
barracuda,1.55,5
barren,1.5555555555555600,3.2
barricade,2.869565217391300,4.57
bartender,6,4.82
barter,5.238095238095240,2.96
baseball,5.208333333333330,4.86
baseline,2.1904761904761900,2.86
bash,3.5454545454545500,3.52
bashful,4,2.19
basics,2.24,2.27
basis,2.36,1.83
bask,3.0526315789473700,3.03
basket,2.2857142857142900,5
basketball,5.0476190476190500,4.97
bastard,3.68,3.14
bathing,3,4.07
battalion,4.555555555555560,3.75
battered,3.0454545454545500,3.04
battering,3.9166666666666700,2.82
battery,1.9565217391304300,4.67
battle,5.863636363636360,4
battlefield,5.56,4.54
battleground,5.45,4.04
battleship,3.0952380952381000,4.81
bawl,4.428571428571430,3.52
bay,2.9047619047619000,4.81
bazaar,4.708333333333330,3.63
bazooka,1.9090909090909100,4.66
bead,1.761904761904760,4.9
beady,2.588235294117650,3.46
beaker,1.55,4.72
bearable,3.25,2.25
bearings,2.1818181818181800,3
bearskin,1.5789473684210500,4.73
beater,3.789473684210530,3.62
beauty,5.565217391304350,2.93
become,3.56,1.54
bedroom,2.9545454545454500,4.9
bedside,2.391304347826090,3.92
bedspread,2.1904761904761900,4.85
bedtime,4.304347826086960,2.9
beefsteak,3,4.76
beer,4.043478260869570,4.88
befriend,6.608695652173910,2.36
beg,5,2.96
beggar,5.043478260869570,4.59
begin,2.9130434782608700,2.56
beginner,4.208333333333330,2.73
beginning,2.2083333333333300,2.5
begrudge,4.888888888888890,1.89
behave,4.6,1.78
behavior,5.5,2.19
behavioral,5.608695652173910,1.48
behold,2.6818181818181800,1.67
beholden,4.416666666666670,1.69
beige,1.4,3.41
belief,5.041666666666670,1.19
believable,4.363636363636360,1.46
believer,4.615384615384620,2.73
belittle,4.238095238095240,2.1
bellboy,3.55,4.39
bellman,3.5454545454545500,4.89
bellow,3.0454545454545500,3.42
bellyful,2.8947368421052600,3.16
belongings,3.238095238095240,3.88
benefactor,4.954545454545450,3.36
beneficial,3.92,1.77
beneficiary,5.375,3
benefit,3.636363636363640,2.25
benevolent,5.043478260869570,1.44
beret,2.6,4.8
bestow,4.2272727272727300,2.07
bestseller,4.9,2.59
bet,4.541666666666670,3.1
beta,2.4347826086956500,2.84
betray,5.6103896103896100,2.17
betrayal,6.125,1.76
beverage,3.5217391304347800,4.6
beware,3.227272727272730,2
bias,4.761904761904760,1.68
bible,4.863636363636360,4.61
biblical,4.4,1.97
bicarbonate,1.7,3.71
bicentennial,2.6666666666666700,2.81
bicker,5.545454545454550,3.15
bicycle,2.363636363636360,4.89
bid,3.136363636363640,2.71
bidder,4.7894736842105300,3.4
bidding,5.055555555555560,2.69
bide,2.5238095238095200,1.73
bigmouth,4.8,3.13
bigot,5.375,3.11
bilateral,4.555555555555560,2.7
billboard,2.8095238095238100,4.83
billiard,3,4.55
billing,3.7142857142857100,3.54
billionaire,5.05,3.22
bimbo,4.4,3.04
binary,3,3
bind,2.5,3.4
binding,3.4545454545454500,3.39
binge,3.636363636363640,3.1
binoculars,2.2916666666666700,5
bio,3.5217391304347800,2.57
biochemical,1.7727272727272700,2.84
biochemistry,2.411764705882350,3.4
biographer,4.913043478260870,4.41
biography,4.6,3.39
biological,3.761904761904760,3.11
biologist,4.181818181818180,3.96
biology,3.1739130434782600,3.48
bionic,2.0434782608695700,2.54
bipolar,4.434782608695650,2.64
birch,1.25,4.12
birdie,2.8260869565217400,3.79
birth,5.909090909090910,4.46
birthday,5.571428571428570,3.2
birthing,5.714285714285710,3.42
birthmark,2.75,4.35
birthplace,4.166666666666670,3.46
bisexual,5.24,2.65
bit,1.88,3.27
bitch,4.2272727272727300,3.72
bitchy,5.130434782608700,2.32
bitter,3.5833333333333300,2.93
bitterness,4.666666666666670,2.36
bittersweet,3.409090909090910,2.73
bizarre,3.4,1.79
blab,4.142857142857140,2.5
blackberry,2.1818181818181800,4.97
blackbird,2.363636363636360,5
blackboard,1.9565217391304300,4.72
blacken,2.363636363636360,3.43
blackjack,3.8333333333333300,3.93
blacklist,4.48,2.96
blackmail,5.541666666666670,2.78
blackmailer,5.6521739130434800,3.21
blackness,2.0454545454545500,3.54
blacksmith,3,4.38
blame,5.681818181818180,2.06
blameless,3.4545454545454500,1.67
bland,2.25,2.38
blank,1.434782608695650,3.12
blanket,1.8333333333333300,5
blasphemous,4.083333333333330,1.52
blasphemy,4.043478260869570,2.22
blastoff,1.9545454545454500,3.19
blatant,3.4285714285714300,2.08
blazer,2.05,4.79
bleach,2.0454545454545500,4.74
bleak,2.7142857142857100,2.54
bleed,3.0833333333333300,4.4
bleeder,2.8,3.5
bleep,1.5714285714285700,3.1
blender,2.1818181818181800,5
bless,4.545454545454550,2.68
blessed,3.92,2.1
blessing,5.090909090909090,2.19
blindfold,2.347826086956520,4.57
blinding,2.4545454545454500,3.17
blindness,3.391304347826090,3.73
blip,2,3.19
bliss,3.85,1.37
blissful,4.826086956521740,2.15
blister,1.3333333333333300,4.71
blistering,2.65,2.93
blitz,3.65,2.85
blizzard,1.375,4.68
bloat,2.1904761904761900,3.04
bloated,3,3.36
blockade,3.45,4.25
blockage,2.260869565217390,3.93
blockbuster,3.347826086956520,2.72
blockhead,2.6,2.68
bloke,4.478260869565220,3.89
blond,2.4782608695652200,4.41
blood,2.652173913043480,4.86
bloodbath,3.4545454545454500,3.54
bloodhound,2,4.76
bloodline,5.72,2.93
bloodshed,4.913043478260870,3.83
bloodshot,2.6956521739130400,4.26
bloodstream,3.263157894736840,4.04
bloomers,2.6,4.26
blooming,2.6818181818181800,4.07
blot,1.826086956521740,3.44
blouse,1.9523809523809500,4.96
blowfish,1.4782608695652200,4.69
blowout,2.9473684210526300,3.35
blowtorch,2.1578947368421100,4.93
blueberry,1.5315985130111500,4.96
bluebird,1.6521739130434800,4.97
blueprint,3,4.77
blues,3.55,2.31
bluff,3.347826086956520,3
blunder,3.590909090909090,2.35
blunt,4.809523809523810,3.07
blur,1.9090909090909100,3.3
blurt,4.428571428571430,3.17
blush,4.857142857142860,4.41
boa,2,4.92
boar,1.565217391304350,4.8
board,2.6,4.57
boarder,3.1052631578947400,3.52
boarding,4.173913043478260,3.44
boardroom,4.545454545454550,4.66
boardwalk,2.857142857142860,4.78
boast,5.125,2.32
boathouse,3.0952380952381000,4.78
boating,3.9545454545454500,3.85
boatload,2.3333333333333300,3.44
boatman,3.92,4.73
bode,2.238095238095240,1.88
bodily,2.4545454545454500,2.69
bodyguard,4.5,4.75
bogeyman,3.0454545454545500,3.12
bogus,2,2.19
bohemian,4.571428571428570,2.73
bold,3.92,2.43
bombardier,3.4347826086956500,3.81
bombardment,4.125,2.81
bomber,3.409090909090910,4.45
bombshell,2.130434782608700,3.88
bonbon,2.0454545454545500,4.61
bondage,4.7,3.65
bonding,5.9523809523809500,2.48
bondsman,4.368421052631580,3.79
bonehead,3.090909090909090,3.29
bonfire,3.238095238095240,4.83
bong,3.272727272727270,4.27
bonkers,3.3157894736842100,1.76
bonnet,1.565217391304350,4.93
bonus,3.380952380952380,3.04
boogeyman,3.2222222222222200,3.24
boogie,3.090909090909090,3.23
bookcase,2.2083333333333300,4.93
bookkeeper,3.9545454545454500,4.64
bookkeeping,3.5416666666666700,3.43
booklet,2.48,4.72
bookmaker,4.260869565217390,3.97
bookmark,2.2857142857142900,4.9
bookshop,4.285714285714290,4.84
bookworm,3.739130434782610,3.69
boomerang,2,4.7
boon,3.75,2.48
boost,2.347826086956520,2.89
booster,2.130434782608700,2.93
bootleg,2.3684210526315800,2.92
bootlegger,3.55,3.86
borderline,3.391304347826090,3
boredom,4.043478260869570,1.96
born,5.454545454545450,3.22
borrow,4.826086956521740,3.1
bossy,5.428571428571430,2.21
botanical,2.142857142857140,3.54
botany,2.047619047619050,2.97
bottle,1.8695652173913000,4.91
bottleneck,2.16,3.97
bottling,1.7272727272727300,3.26
bounce,2.1739130434782600,3.86
bouncy,2.238095238095240,3.18
bound,4.5,3.43
boundary,3.5714285714285700,3.04
bountiful,3.4761904761904800,2.07
bounty,3.6818181818181800,3.41
bourbon,2.409090909090910,4.93
bout,3.9047619047619000,3
boutique,3.9545454545454500,4.27
bowel,1.5263157894736800,4.53
bowels,1.55,4.33
bowl,1.7272727272727300,4.87
bowling,5.909090909090910,4.56
boxing,4.818181818181820,4.55
boycott,5.083333333333330,2.76
boyfriend,6.684210526315790,4.59
boyhood,4.608695652173910,2.29
boyish,4.666666666666670,2.43
bracelet,1.368421052631580,4.96
bracket,2.1,4.43
brag,4.7272727272727300,2.41
brainless,3.4782608695652200,2.18
brainstorm,5.045454545454550,2.55
brainwash,5.083333333333330,2.21
brainy,3.95,1.88
branch,2.6818181818181800,4.9
brand,4.24,3.29
brass,2.4285714285714300,4.7
brave,4.95,2.26
bravery,5.125,1.96
brawn,2.5217391304347800,2.79
brazen,4,1.93
breach,2.45,2.48
breadth,2.6,2.23
break,2.619047619047620,3.71
breakaway,2.8181818181818200,2.78
breakdown,3.739130434782610,2.75
breakfast,3.4210526315789500,4.43
breakup,5.391304347826090,2
breast,3.636363636363640,4.89
breath,3.272727272727270,4.36
breather,3.1818181818181800,3.44
breathless,2.64,3.67
breathtaking,3.4545454545454500,1.85
breech,3.0833333333333300,2.96
breed,3.9130434782608700,2.85
breeder,4.636363636363640,3.13
breeding,4.958333333333330,2.96
brewing,2.952380952380950,3.07
bribe,5.041666666666670,3.44
bribery,5.761904761904760,2.89
brick,1.85,4.83
bridal,5.809523809523810,3.25
