participant,Word,ACC,RT,PoS,Socialness,Concreteness
R_12o60uCi7gQgdDy,terrorize,1,0.8017,Verb,Social,2.84
R_12o60uCi7gQgdDy,summary,1,NA,Noun,Nonsocial,3.03
R_12o60uCi7gQgdDy,physics,1,NA,Noun,Nonsocial,3.07
R_12o60uCi7gQgdDy,stepson,1,NA,Noun,Social,3.68
R_12o60uCi7gQgdDy,advise,1,0.7418,Verb,Social,2.03
R_12o60uCi7gQgdDy,talker,1,NA,Noun,Social,4.39
R_12o60uCi7gQgdDy,infiltrate,1,1.0059,Verb,Social,2.71
R_12o60uCi7gQgdDy,negotiate,1,0.9989,Verb,Social,2
R_12o60uCi7gQgdDy,radiate,1,1.2975,Verb,Nonsocial,2.93
R_12o60uCi7gQgdDy,history,1,NA,Noun,Social,2.96
R_12o60uCi7gQgdDy,outcome,1,NA,Noun,Nonsocial,2.27
R_12o60uCi7gQgdDy,guidance,1,NA,Noun,Social,2.46
R_12o60uCi7gQgdDy,freshen,1,0.8496,Verb,Nonsocial,2.17
R_12o60uCi7gQgdDy,generate,1,0.7833,Verb,Nonsocial,2.23
R_12o60uCi7gQgdDy,hometown,1,NA,Noun,Social,3.33
R_12o60uCi7gQgdDy,magnetism,1,NA,Noun,Nonsocial,2.54
R_12o60uCi7gQgdDy,option,1,NA,Noun,Nonsocial,2.39
R_12o60uCi7gQgdDy,attract,1,0.6491,Verb,Social,2.73
R_12o60uCi7gQgdDy,accelerate,1,0.7986,Verb,Nonsocial,3.48
R_12o60uCi7gQgdDy,trajectory,1,NA,Noun,Nonsocial,3.1
R_12o60uCi7gQgdDy,career,1,NA,Noun,Social,2.54
R_12o60uCi7gQgdDy,maintain,1,0.9987,Verb,Nonsocial,2.32
R_12o60uCi7gQgdDy,esteem,1,NA,Noun,Social,1.83
R_12o60uCi7gQgdDy,terminate,1,0.789,Verb,Nonsocial,2.29
R_12o60uCi7gQgdDy,solution,1,NA,Noun,Nonsocial,2.61
R_12o60uCi7gQgdDy,cooperate,1,0.6984,Verb,Social,1.87
R_12o60uCi7gQgdDy,persuasion,1,NA,Noun,Social,1.9
R_12o60uCi7gQgdDy,onset,1,NA,Noun,Nonsocial,2.14
R_12o60uCi7gQgdDy,fireside,1,NA,Noun,Nonsocial,3.84
R_12o60uCi7gQgdDy,patriot,1,NA,Noun,Social,3.36
R_12o60uCi7gQgdDy,mingle,1,0.7001,Verb,Social,3.17
R_12o60uCi7gQgdDy,amendment,1,NA,Noun,Nonsocial,2.44
R_12o60uCi7gQgdDy,reinforce,1,0.894,Verb,Nonsocial,2.32
R_12o60uCi7gQgdDy,temptress,1,NA,Noun,Social,3.08
R_12o60uCi7gQgdDy,dimension,1,NA,Noun,Nonsocial,2.5
R_12o60uCi7gQgdDy,speech,1,NA,Noun,Social,3.37
R_12o60uCi7gQgdDy,artistry,1,NA,Noun,Social,2
R_12o60uCi7gQgdDy,inhabit,1,0.985,Verb,Social,3.21
R_12o60uCi7gQgdDy,congratulate,1,0.8338,Verb,Social,3.04
R_12o60uCi7gQgdDy,labor,1,NA,Noun,Social,3.08
R_12o60uCi7gQgdDy,presenter,1,NA,Noun,Social,3.96
R_12o60uCi7gQgdDy,foreigner,1,NA,Noun,Social,3.32
R_12o60uCi7gQgdDy,activate,1,0.6583,Verb,Nonsocial,2.97
R_12o60uCi7gQgdDy,replace,1,0.6873,Verb,Nonsocial,3
R_12o60uCi7gQgdDy,confide,1,0.7434,Verb,Social,1.81
R_12o60uCi7gQgdDy,unhook,1,0.7465,Verb,Nonsocial,3.34
R_12o60uCi7gQgdDy,size,1,NA,Noun,Nonsocial,3.13
R_12o60uCi7gQgdDy,commandeer,1,1.0662,Verb,Social,3.7
R_12o60uCi7gQgdDy,greet,1,0.698,Verb,Social,2.96
R_12o60uCi7gQgdDy,management,1,NA,Noun,Social,2.72
R_12o60uCi7gQgdDy,aggressor,1,NA,Noun,Social,3.29
R_12o60uCi7gQgdDy,expire,0,NA,Verb,Nonsocial,2.73
R_12o60uCi7gQgdDy,enhance,1,0.7808,Verb,Nonsocial,2.21
R_12o60uCi7gQgdDy,manipulate,1,0.7263,Verb,Social,2.55
R_12o60uCi7gQgdDy,classify,1,1.2617,Verb,Nonsocial,2.41
R_12o60uCi7gQgdDy,extend,1,0.7481,Verb,Nonsocial,2.93
R_12o60uCi7gQgdDy,goodwill,1,NA,Noun,Social,2.54
R_12o60uCi7gQgdDy,supervise,1,1.2947,Verb,Social,2.48
R_12o60uCi7gQgdDy,decipher,1,0.8562,Verb,Nonsocial,2.83
R_12o60uCi7gQgdDy,openness,1,NA,Noun,Social,1.9
R_12o60uCi7gQgdDy,deteriorate,0,NA,Verb,Nonsocial,3
R_12o60uCi7gQgdDy,contribute,1,0.6579,Verb,Social,2.13
R_12o60uCi7gQgdDy,straighten,1,0.8359,Verb,Nonsocial,3.72
R_12o60uCi7gQgdDy,dissolve,1,0.7833,Verb,Nonsocial,3.15
R_12o60uCi7gQgdDy,simplicity,1,NA,Noun,Nonsocial,1.96
R_12o60uCi7gQgdDy,figment,1,NA,Noun,Nonsocial,2.04
R_12o60uCi7gQgdDy,taunt,1,0.7189,Verb,Social,2.93
R_12o60uCi7gQgdDy,countdown,1,NA,Noun,Nonsocial,3.3
R_12o60uCi7gQgdDy,potency,0,0.869,Noun,Nonsocial,2.32
R_12o60uCi7gQgdDy,stealth,1,NA,Noun,Nonsocial,2.76
R_12o60uCi7gQgdDy,variation,1,NA,Noun,Nonsocial,2.46
R_12o60uCi7gQgdDy,confine,1,0.8797,Verb,Nonsocial,3.07
