item,e1hit,e1fa,e1h_fa,e2hit,e2fa,e2h_fa,both_hit,both_fa,both_h_fa,d_both,c_both,logzeno,sub_freq,aoa,img_rating,pon,old,pld,Length
spool,0.72,0.18,0.55,0.83,0.20,0.63,0.78,0.19,0.59,1.65,0.06,0.55,2.97,5.38,5.50,8.00,1.70,1.60,5.00
spoon,0.76,0.18,0.58,0.70,0.27,0.43,0.73,0.22,0.51,1.37,0.08,1.15,5.53,2.41,6.30,10.00,1.75,1.45,5.00
sport,0.69,0.04,0.65,0.67,0.10,0.57,0.68,0.07,0.61,1.95,0.51,1.56,5.56,3.22,5.00,9.00,1.50,1.65,5.00
spot,0.52,0.43,0.09,0.63,0.30,0.33,0.58,0.37,0.21,0.53,0.07,1.91,5.10,3.13,5.20,23.00,1.45,1.45,4.00
spout,0.75,0.45,0.30,0.77,0.30,0.47,0.76,0.37,0.38,1.02,-0.19,0.59,3.21,4.31,5.00,17.00,1.60,1.60,5.00
sprang,0.75,0.24,0.51,0.73,0.23,0.50,0.74,0.24,0.50,1.36,0.03,1.31,3.20,4.69,3.10,16.00,1.90,1.85,6.00
sprawl,0.85,0.30,0.55,0.90,0.40,0.50,0.88,0.35,0.53,1.54,-0.38,0.26,2.83,4.91,3.60,11.00,2.10,1.90,6.00
spray,0.62,0.18,0.44,0.80,0.27,0.53,0.71,0.22,0.49,1.32,0.10,1.25,4.34,3.53,5.00,31.00,1.70,1.55,5.00
spread,0.71,0.31,0.40,0.70,0.40,0.30,0.71,0.36,0.35,0.92,-0.09,2.08,4.00,3.88,4.00,9.00,1.95,1.85,6.00
spree,0.89,0.07,0.82,0.73,0.30,0.43,0.81,0.18,0.63,1.79,0.00,0.20,3.27,5.25,3.40,20.00,2.00,1.80,5.00
sprig,0.89,0.17,0.72,0.83,0.13,0.70,0.86,0.15,0.71,2.12,-0.02,0.13,1.72,5.91,2.90,15.00,1.95,1.95,5.00
spring,0.64,0.17,0.47,0.70,0.30,0.40,0.67,0.24,0.44,1.16,0.14,2.16,3.80,3.38,5.90,20.00,1.55,1.45,6.00
sprite,0.93,0.24,0.69,0.90,0.27,0.63,0.91,0.25,0.66,2.03,-0.35,0.09,4.30,4.34,5.50,13.00,1.95,1.85,6.00
sprout,0.79,0.31,0.48,0.83,0.40,0.43,0.81,0.36,0.45,1.25,-0.25,0.71,3.33,4.74,4.70,17.00,2.15,1.90,6.00
spruce,0.76,0.21,0.54,0.93,0.23,0.70,0.85,0.22,0.62,1.78,-0.13,0.98,2.43,5.59,4.80,4.00,2.10,1.95,6.00
sprung,0.79,0.38,0.41,0.87,0.47,0.40,0.83,0.42,0.40,1.13,-0.37,0.69,2.90,4.63,3.40,14.00,1.85,1.85,6.00
spun,0.63,0.30,0.34,0.63,0.23,0.40,0.63,0.26,0.37,0.97,0.14,1.22,3.27,4.03,3.40,12.00,1.50,1.50,4.00
spur,0.90,0.33,0.57,0.73,0.20,0.53,0.82,0.27,0.55,1.53,-0.14,0.74,3.47,4.74,5.30,5.00,1.60,1.50,4.00
spurt,0.90,0.14,0.75,0.83,0.17,0.67,0.86,0.15,0.71,2.12,-0.04,0.68,2.97,5.23,3.30,4.00,1.80,1.65,5.00
spy,0.75,0.31,0.44,0.87,0.13,0.73,0.81,0.22,0.59,1.64,-0.05,0.95,3.70,3.59,4.30,17.00,1.50,1.10,3.00
squad,0.62,0.29,0.33,0.77,0.10,0.67,0.69,0.19,0.50,1.37,0.18,0.83,3.03,4.53,4.40,3.00,1.70,1.70,5.00
squall,0.93,0.45,0.48,0.93,0.27,0.67,0.93,0.36,0.57,1.85,-0.56,0.37,2.03,5.44,4.00,13.00,1.95,1.75,6.00
square,0.64,0.03,0.61,0.67,0.17,0.50,0.65,0.10,0.55,1.68,0.44,1.95,4.80,2.63,6.40,20.00,1.85,1.80,6.00
squash,0.70,0.37,0.33,0.87,0.30,0.57,0.78,0.34,0.45,1.21,-0.18,0.93,3.33,3.91,5.30,4.00,1.90,1.65,6.00
squat,0.68,0.31,0.37,0.73,0.27,0.47,0.71,0.29,0.42,1.10,0.01,0.52,3.87,4.00,4.50,3.00,1.80,1.60,5.00
squaw,0.89,0.20,0.69,0.87,0.20,0.67,0.88,0.20,0.68,2.01,-0.16,0.27,1.87,6.03,3.90,19.00,1.90,1.90,5.00
squawk,0.79,0.21,0.58,0.97,0.37,0.60,0.88,0.29,0.59,1.72,-0.30,0.28,2.53,4.69,3.60,3.00,2.35,1.85,6.00
squeak,0.79,0.24,0.54,0.90,0.23,0.67,0.84,0.24,0.61,1.72,-0.15,0.88,3.57,3.06,4.30,14.00,2.25,1.75,6.00
squeal,0.76,0.43,0.33,0.70,0.30,0.40,0.73,0.36,0.37,0.96,-0.13,0.44,2.87,4.06,3.10,13.00,2.15,1.75,6.00
squeeze,0.72,0.29,0.44,0.73,0.27,0.47,0.73,0.28,0.45,1.20,-0.01,1.05,4.40,3.19,4.30,5.00,2.80,1.75,7.00
squint,0.79,0.21,0.58,0.90,0.23,0.67,0.85,0.22,0.62,1.78,-0.13,0.28,3.40,4.38,5.10,15.00,1.85,1.95,6.00
squire,0.86,0.24,0.62,0.83,0.20,0.63,0.85,0.22,0.62,1.79,-0.12,0.78,2.57,5.88,3.90,12.00,1.75,1.80,6.00
squirm,0.85,0.37,0.49,0.87,0.20,0.67,0.86,0.28,0.58,1.65,-0.25,0.18,3.27,4.13,4.70,2.00,2.35,2.40,6.00
squirt,0.93,0.15,0.79,0.97,0.20,0.77,0.95,0.17,0.78,2.58,-0.35,0.28,3.23,4.00,4.80,7.00,1.85,2.10,6.00
stab,0.76,0.21,0.54,0.87,0.33,0.53,0.81,0.27,0.54,1.49,-0.14,0.45,4.07,3.91,5.20,15.00,1.45,1.35,4.00
stack,0.52,0.29,0.23,0.63,0.50,0.13,0.58,0.39,0.18,0.46,0.04,1.06,3.87,3.78,4.20,24.00,1.30,1.00,5.00
staff,0.61,0.17,0.43,0.80,0.10,0.70,0.70,0.14,0.57,1.63,0.28,1.55,4.27,4.38,4.60,4.00,1.85,1.45,5.00
stag,0.55,0.43,0.12,0.83,0.27,0.57,0.69,0.35,0.34,0.89,-0.06,0.51,2.93,5.35,5.00,22.00,1.35,1.35,4.00
stage,0.59,0.23,0.36,0.67,0.33,0.33,0.63,0.28,0.35,0.90,0.12,1.96,4.00,4.16,6.10,8.00,1.45,1.75,5.00
stain,0.76,0.21,0.54,0.77,0.30,0.47,0.76,0.26,0.51,1.37,-0.03,0.78,4.50,3.94,5.50,21.00,1.55,1.00,5.00
stair,0.57,0.17,0.40,0.67,0.20,0.47,0.62,0.19,0.43,1.19,0.29,0.56,4.97,3.16,6.10,10.00,1.75,1.25,5.00
stake,0.68,0.24,0.44,0.70,0.43,0.27,0.69,0.34,0.35,0.91,-0.04,0.96,3.10,4.77,5.40,21.00,1.30,1.00,5.00
stale,0.75,0.17,0.58,0.77,0.17,0.60,0.76,0.17,0.59,1.66,0.13,0.62,4.03,4.13,3.30,16.00,1.25,1.00,5.00
stalk,0.57,0.34,0.23,0.83,0.20,0.63,0.70,0.27,0.43,1.14,0.04,0.89,3.14,4.88,4.50,6.00,1.70,1.40,5.00
stall,0.71,0.31,0.40,0.77,0.40,0.37,0.74,0.36,0.39,1.02,-0.14,1.13,3.80,4.19,4.80,13.00,1.65,1.30,5.00
stamp,0.68,0.21,0.47,0.83,0.33,0.50,0.76,0.27,0.49,1.31,-0.04,1.34,4.23,3.59,6.10,13.00,1.70,1.70,5.00
stance,0.75,0.17,0.58,0.73,0.27,0.47,0.74,0.22,0.52,1.42,0.06,0.50,3.73,5.16,3.40,8.00,1.85,1.75,6.00
stanch,0.62,0.21,0.41,0.87,0.20,0.67,0.74,0.21,0.54,1.47,0.08,0.02,2.20,6.19,1.90,1.00,1.80,1.90,6.00
stand,0.54,0.31,0.23,0.77,0.10,0.67,0.65,0.21,0.45,1.21,0.22,2.18,5.53,3.06,5.00,12.00,1.70,1.40,5.00
star,0.54,0.14,0.40,0.77,0.10,0.67,0.65,0.12,0.53,1.57,0.40,1.97,5.23,2.80,6.80,14.00,1.20,1.25,4.00
starch,0.71,0.34,0.37,0.87,0.20,0.67,0.79,0.27,0.52,1.41,-0.10,1.20,3.43,5.28,4.10,5.00,1.85,1.80,6.00
stare,0.68,0.24,0.44,0.80,0.20,0.60,0.74,0.22,0.52,1.41,0.06,1.15,4.40,3.66,4.50,20.00,1.10,1.25,5.00
stark,0.68,0.21,0.47,0.73,0.27,0.47,0.71,0.24,0.47,1.26,0.09,0.75,2.93,5.69,2.80,12.00,1.50,1.55,5.00
start,0.50,0.14,0.36,0.43,0.30,0.13,0.47,0.22,0.25,0.69,0.43,2.28,5.67,2.69,2.90,11.00,1.55,1.45,5.00
starve,0.60,0.30,0.30,0.80,0.23,0.57,0.70,0.26,0.44,1.15,0.05,0.96,4.30,4.03,3.80,3.00,1.85,1.65,6.00
state,0.61,0.07,0.54,0.73,0.20,0.53,0.67,0.13,0.54,1.55,0.33,2.60,5.20,3.53,4.90,19.00,1.35,1.10,5.00
staunch,0.79,0.24,0.54,0.80,0.20,0.60,0.79,0.22,0.57,1.59,-0.02,0.30,2.57,6.28,1.70,4.00,2.55,2.05,7.00
stay,0.39,0.28,0.12,0.70,0.27,0.43,0.55,0.27,0.28,0.73,0.25,2.29,5.33,3.03,2.60,31.00,1.35,1.10,4.00
stead,0.69,0.25,0.44,0.70,0.20,0.50,0.69,0.23,0.47,1.26,0.12,0.32,2.07,5.69,3.00,9.00,1.75,1.10,5.00
steak,0.78,0.27,0.51,0.90,0.23,0.67,0.84,0.25,0.59,1.66,-0.16,0.90,4.30,3.44,6.50,2.00,1.65,1.00,5.00
steal,0.54,0.38,0.16,0.83,0.33,0.50,0.68,0.36,0.33,0.85,-0.06,1.15,4.40,3.55,3.80,13.00,1.65,1.25,5.00
stealth,0.82,0.34,0.48,0.87,0.40,0.47,0.84,0.37,0.47,1.34,-0.34,0.07,3.20,5.72,2.80,3.00,2.60,1.90,7.00
steam,0.69,0.25,0.44,0.77,0.20,0.57,0.73,0.23,0.50,1.36,0.07,1.71,3.90,3.91,5.60,11.00,1.60,1.25,5.00
steed,0.93,0.07,0.86,0.67,0.20,0.47,0.80,0.14,0.66,1.94,0.13,0.38,1.97,5.53,4.20,18.00,1.65,1.15,5.00
steel,0.72,0.39,0.33,0.80,0.23,0.57,0.76,0.31,0.45,1.20,-0.11,1.96,3.37,4.19,5.80,10.00,1.70,1.25,5.00
steep,0.69,0.25,0.44,0.77,0.27,0.50,0.73,0.26,0.47,1.26,0.02,1.49,3.70,4.29,4.20,14.00,1.60,1.35,5.00
steer,0.67,0.47,0.20,0.87,0.33,0.53,0.77,0.40,0.37,0.98,-0.24,1.02,3.47,4.44,5.00,12.00,1.65,1.00,5.00
stem,0.71,0.31,0.40,0.77,0.20,0.57,0.74,0.26,0.49,1.30,0.01,1.49,3.40,3.56,6.20,5.00,1.70,1.60,4.00
stench,0.86,0.18,0.68,0.90,0.23,0.67,0.88,0.21,0.68,2.00,-0.18,0.49,3.60,4.88,3.30,10.00,1.95,1.90,6.00
step,0.55,0.18,0.37,0.73,0.20,0.53,0.64,0.19,0.45,1.25,0.26,2.09,5.37,3.06,5.70,5.00,1.70,1.50,4.00
stew,0.79,0.34,0.44,0.83,0.33,0.50,0.81,0.34,0.47,1.29,-0.23,0.97,3.27,3.72,5.70,26.00,1.55,1.35,4.00
stick,0.74,0.30,0.44,0.73,0.10,0.63,0.74,0.20,0.54,1.48,0.10,1.89,4.33,3.28,5.90,23.00,1.50,1.00,5.00
stiff,0.69,0.39,0.30,0.87,0.23,0.63,0.78,0.31,0.47,1.25,-0.14,1.42,4.00,4.22,3.70,11.00,1.75,1.55,5.00
still,0.61,0.28,0.33,0.63,0.30,0.33,0.62,0.29,0.33,0.87,0.13,2.87,5.77,3.16,2.80,28.00,1.55,1.05,5.00
stilt,0.66,0.29,0.37,0.73,0.40,0.33,0.69,0.34,0.35,0.91,-0.05,0.09,2.37,5.03,4.30,13.00,1.75,1.70,5.00
sting,0.71,0.38,0.33,0.77,0.30,0.47,0.74,0.34,0.40,1.06,-0.12,0.81,3.27,3.34,5.00,20.00,1.50,1.10,5.00
stink,0.86,0.36,0.50,0.87,0.30,0.57,0.86,0.33,0.54,1.54,-0.33,0.50,4.83,3.28,3.90,19.00,1.60,1.55,5.00
stint,0.70,0.30,0.40,0.70,0.30,0.40,0.70,0.30,0.40,1.05,0.00,0.24,2.40,6.00,2.40,15.00,1.70,1.85,5.00
stir,0.69,0.18,0.51,0.83,0.27,0.57,0.76,0.22,0.54,1.47,0.03,1.19,4.20,3.38,4.50,4.00,1.80,1.70,4.00
stitch,0.87,0.37,0.50,0.70,0.40,0.30,0.78,0.39,0.40,1.08,-0.25,0.78,4.00,4.32,5.30,14.00,1.90,1.85,6.00
stock,0.67,0.33,0.33,0.77,0.40,0.37,0.72,0.37,0.35,0.91,-0.12,1.83,4.10,4.88,3.80,20.00,1.55,1.30,5.00
stole,0.71,0.28,0.44,0.77,0.17,0.60,0.74,0.22,0.52,1.41,0.06,1.17,4.09,3.38,3.60,14.00,1.60,1.20,5.00
stone,0.63,0.07,0.56,0.73,0.27,0.47,0.68,0.17,0.51,1.43,0.24,2.18,4.23,3.19,6.60,16.00,1.45,1.15,5.00
stood,0.48,0.27,0.21,0.70,0.17,0.53,0.59,0.22,0.37,1.01,0.28,2.46,4.77,3.72,4.30,2.00,1.90,1.65,5.00
stool,0.75,0.41,0.34,0.90,0.23,0.67,0.83,0.32,0.50,1.39,-0.24,1.05,3.60,3.69,6.10,8.00,1.80,1.30,5.00
stoop,0.79,0.43,0.36,0.80,0.37,0.43,0.80,0.40,0.40,1.09,-0.28,0.81,3.33,4.75,3.90,12.00,1.60,1.30,5.00
stop,0.48,0.20,0.28,0.47,0.17,0.30,0.47,0.18,0.29,0.84,0.48,2.37,6.43,2.31,4.50,22.00,1.50,1.30,4.00
store,0.66,0.18,0.48,0.67,0.30,0.37,0.66,0.24,0.42,1.12,0.15,2.22,5.63,3.22,5.80,21.00,1.15,1.10,5.00
stork,0.82,0.14,0.68,0.77,0.00,0.77,0.79,0.07,0.73,2.30,0.33,0.65,2.27,4.06,5.70,1.00,1.75,1.60,5.00
storm,0.60,0.07,0.53,0.77,0.23,0.53,0.68,0.15,0.53,1.50,0.27,1.75,4.20,3.16,6.20,5.00,1.75,1.55,5.00
stout,0.79,0.21,0.58,0.90,0.30,0.60,0.85,0.26,0.59,1.67,-0.18,1.05,2.87,5.59,3.60,17.00,1.70,1.60,5.00
stove,0.64,0.10,0.54,0.73,0.20,0.53,0.69,0.15,0.54,1.52,0.27,1.51,4.47,3.31,6.90,14.00,1.55,1.55,5.00
stow,0.66,0.14,0.51,0.70,0.17,0.53,0.68,0.15,0.52,1.48,0.28,0.26,2.63,5.63,2.30,17.00,1.65,1.25,4.00
straight,0.75,0.14,0.61,0.83,0.20,0.63,0.79,0.17,0.62,1.77,0.07,2.11,5.27,3.32,4.10,1.00,2.85,1.50,8.00
strain,0.55,0.32,0.23,0.90,0.37,0.53,0.73,0.34,0.38,1.00,-0.10,1.19,3.97,4.66,3.70,21.00,1.75,1.45,6.00
strand,0.54,0.17,0.36,0.83,0.17,0.67,0.68,0.17,0.51,1.44,0.24,0.92,3.33,4.56,4.70,12.00,1.90,1.80,6.00
strange,0.62,0.25,0.37,0.60,0.23,0.37,0.61,0.24,0.37,0.98,0.21,2.18,5.23,3.88,2.70,5.00,1.85,1.90,7.00
strap,0.71,0.38,0.33,0.77,0.23,0.53,0.74,0.31,0.43,1.15,-0.07,0.87,3.70,3.88,5.50,23.00,1.70,1.70,5.00
straw,0.63,0.23,0.40,0.73,0.17,0.57,0.68,0.20,0.48,1.31,0.18,1.46,4.03,3.13,6.50,19.00,1.80,1.80,5.00
stray,0.71,0.21,0.51,0.70,0.33,0.37,0.71,0.27,0.44,1.16,0.03,0.93,3.81,4.22,4.00,31.00,1.65,1.45,5.00
streak,0.69,0.14,0.55,0.93,0.30,0.63,0.81,0.22,0.59,1.65,-0.06,0.90,3.07,4.69,4.20,14.00,1.85,1.70,6.00
stream,0.79,0.29,0.51,0.87,0.30,0.57,0.83,0.29,0.54,1.50,-0.20,1.87,3.83,3.53,6.40,11.00,1.80,1.65,6.00
street,0.63,0.07,0.56,0.63,0.13,0.50,0.63,0.10,0.53,1.60,0.46,2.34,5.63,3.03,6.30,12.00,1.95,1.60,6.00
strength,0.71,0.14,0.58,0.77,0.23,0.53,0.74,0.19,0.55,1.54,0.12,1.94,5.13,3.91,3.40,2.00,2.85,2.35,8.00
stress,0.66,0.18,0.48,0.93,0.17,0.77,0.79,0.17,0.62,1.77,0.06,1.64,5.60,4.97,3.40,15.00,1.95,1.90,6.00
stretch,0.79,0.38,0.41,0.93,0.37,0.57,0.86,0.37,0.49,1.40,-0.38,1.53,4.30,3.50,4.50,9.00,2.35,1.90,7.00
strict,0.61,0.21,0.40,0.57,0.07,0.50,0.59,0.14,0.45,1.31,0.44,1.22,3.97,3.81,2.70,1.00,2.00,1.80,6.00
stride,0.69,0.54,0.15,0.90,0.23,0.67,0.79,0.38,0.41,1.12,-0.26,0.81,3.53,4.84,4.20,15.00,1.65,1.60,6.00
strife,0.52,0.21,0.30,0.77,0.33,0.43,0.64,0.27,0.37,0.97,0.12,0.50,2.80,5.71,2.70,6.00,1.80,1.80,6.00
strike,0.69,0.39,0.30,0.73,0.23,0.50,0.71,0.31,0.40,1.04,-0.04,1.68,3.97,4.16,4.60,12.00,1.60,1.70,6.00
string,0.68,0.38,0.30,0.73,0.13,0.60,0.71,0.26,0.45,1.20,0.06,1.74,4.53,3.19,6.20,20.00,1.60,1.25,6.00
strip,0.74,0.17,0.57,0.73,0.27,0.47,0.74,0.22,0.52,1.42,0.07,1.48,4.33,4.53,4.80,26.00,1.80,1.70,5.00
stripe,0.90,0.26,0.64,0.73,0.27,0.47,0.82,0.26,0.55,1.54,-0.13,0.47,3.77,3.53,6.00,8.00,1.55,1.55,6.00
strive,0.79,0.39,0.40,0.80,0.40,0.40,0.80,0.40,0.40,1.09,-0.28,0.77,4.40,5.34,3.10,13.00,1.70,1.75,6.00
strode,0.63,0.23,0.40,0.53,0.20,0.33,0.58,0.22,0.36,0.99,0.29,0.91,2.67,5.69,2.80,9.00,1.85,1.70,6.00
stroke,0.79,0.39,0.40,0.90,0.37,0.53,0.85,0.38,0.47,1.33,-0.36,1.33,3.47,4.16,4.50,13.00,1.70,1.60,6.00
stroll,0.67,0.30,0.37,0.73,0.40,0.33,0.70,0.35,0.35,0.91,-0.07,0.66,3.37,4.25,4.50,9.00,1.90,1.65,6.00
strong,0.68,0.17,0.51,0.53,0.30,0.23,0.61,0.24,0.37,0.99,0.22,2.38,5.80,3.25,4.00,13.00,1.85,1.80,6.00
strove,0.69,0.21,0.48,0.77,0.23,0.53,0.73,0.22,0.50,1.37,0.08,0.42,2.27,5.61,2.60,14.00,1.75,1.75,6.00
struck,0.69,0.46,0.23,0.67,0.23,0.43,0.68,0.35,0.33,0.85,-0.04,1.78,3.80,4.19,3.80,17.00,1.90,1.65,6.00
strung,0.68,0.45,0.23,0.60,0.30,0.30,0.64,0.37,0.27,0.68,-0.02,0.88,3.37,4.75,2.80,14.00,1.80,1.65,6.00
strut,0.72,0.21,0.51,0.90,0.27,0.63,0.81,0.24,0.57,1.59,-0.09,0.36,3.47,4.97,4.00,13.00,1.90,1.70,5.00
stub,0.79,0.32,0.47,0.80,0.37,0.43,0.80,0.34,0.45,1.23,-0.21,0.61,3.30,4.09,4.50,16.00,1.65,1.40,4.00
stuck,0.52,0.29,0.23,0.63,0.30,0.33,0.58,0.29,0.28,0.73,0.18,1.69,4.60,3.50,3.20,17.00,1.60,1.15,5.00
stud,0.82,0.41,0.41,0.83,0.27,0.57,0.83,0.34,0.49,1.36,-0.27,0.55,4.47,4.78,4.90,8.00,1.70,1.15,4.00
stuff,0.71,0.21,0.51,0.77,0.13,0.63,0.74,0.17,0.57,1.60,0.15,1.59,6.33,3.06,3.60,15.00,1.75,1.35,5.00
stump,0.63,0.30,0.33,0.93,0.40,0.53,0.78,0.35,0.43,1.16,-0.20,0.93,3.33,3.72,5.80,17.00,1.75,1.70,5.00
stung,0.72,0.18,0.55,0.60,0.20,0.40,0.66,0.19,0.47,1.30,0.23,0.78,3.62,3.66,4.40,14.00,1.60,1.40,5.00
stunt,0.68,0.41,0.26,0.77,0.37,0.40,0.72,0.39,0.33,0.87,-0.16,0.79,3.30,4.72,3.70,9.00,1.70,1.75,5.00
style,0.59,0.18,0.41,0.67,0.13,0.53,0.63,0.16,0.47,1.33,0.34,1.74,5.03,4.41,3.30,1.00,1.80,1.60,5.00
suave,0.90,0.11,0.79,0.93,0.13,0.80,0.92,0.12,0.79,2.55,-0.11,0.17,3.57,5.69,2.90,1.00,1.80,1.65,5.00
such,0.29,0.17,0.11,0.43,0.07,0.37,0.36,0.12,0.24,0.82,0.77,3.03,6.37,3.56,1.70,2.00,1.85,1.80,4.00
suck,0.79,0.04,0.76,0.83,0.10,0.73,0.81,0.07,0.75,2.38,0.30,0.79,5.37,3.53,4.40,17.00,1.30,1.00,4.00
suds,0.79,0.07,0.72,0.87,0.07,0.80,0.83,0.07,0.76,2.44,0.26,0.48,3.10,4.22,5.80,2.00,1.60,1.50,4.00
sue,0.75,0.14,0.61,0.80,0.03,0.77,0.78,0.09,0.69,2.12,0.31,1.48,3.80,4.88,3.60,12.00,1.35,1.00,3.00
suede,0.79,0.07,0.72,0.83,0.10,0.73,0.81,0.09,0.73,2.26,0.24,0.35,3.03,5.33,5.20,1.00,1.95,1.60,5.00
suit,0.66,0.14,0.51,0.80,0.17,0.63,0.73,0.15,0.57,1.62,0.21,1.69,4.67,4.03,5.50,2.00,1.65,1.00,4.00
suite,0.72,0.21,0.51,0.87,0.30,0.57,0.80,0.26,0.54,1.48,-0.09,0.52,5.23,4.81,5.20,1.00,1.60,1.50,5.00
sulk,0.79,0.38,0.41,0.83,0.27,0.57,0.81,0.32,0.49,1.34,-0.21,0.20,3.30,5.00,3.10,4.00,1.60,1.50,4.00
sum,0.78,0.07,0.71,0.60,0.07,0.53,0.69,0.07,0.62,1.99,0.50,1.29,3.80,4.00,3.40,16.00,1.30,1.00,3.00
sun,0.70,0.07,0.63,0.70,0.03,0.67,0.70,0.05,0.65,2.13,0.54,2.61,5.73,2.22,6.90,12.00,1.00,1.00,3.00
sung,0.55,0.25,0.30,0.67,0.13,0.53,0.61,0.19,0.42,1.15,0.30,0.86,3.83,3.81,3.30,14.00,1.30,1.00,4.00
sunk,0.68,0.28,0.40,0.67,0.20,0.47,0.67,0.24,0.43,1.16,0.13,0.88,3.70,3.97,3.50,19.00,1.15,1.20,4.00
sup,0.86,0.11,0.75,0.90,0.00,0.90,0.88,0.05,0.83,2.79,0.22,0.07,2.53,6.00,1.70,2.00,1.45,1.20,3.00
sure,0.48,0.18,0.30,0.53,0.17,0.37,0.51,0.17,0.34,0.96,0.46,2.54,6.10,3.29,2.20,4.00,1.60,1.10,4.00
surf,0.83,0.14,0.68,0.83,0.20,0.63,0.83,0.17,0.66,1.90,0.00,0.85,3.43,3.84,6.10,3.00,1.85,1.75,4.00
surge,0.83,0.32,0.51,0.77,0.47,0.30,0.80,0.39,0.40,1.10,-0.28,0.78,3.53,5.45,3.30,4.00,1.75,1.65,5.00
swab,0.64,0.24,0.40,0.83,0.27,0.57,0.74,0.25,0.48,1.30,0.01,0.15,3.38,4.91,5.20,1.00,1.55,1.45,4.00
swam,0.90,0.25,0.65,0.83,0.17,0.67,0.86,0.21,0.66,1.92,-0.15,1.35,3.63,3.47,4.40,21.00,1.20,1.65,4.00
swamp,0.79,0.32,0.47,0.80,0.53,0.27,0.80,0.43,0.37,1.01,-0.32,1.16,3.21,3.72,6.00,1.00,1.65,1.70,5.00
swan,0.72,0.39,0.33,0.73,0.23,0.50,0.73,0.31,0.42,1.10,-0.06,0.81,2.77,3.25,6.30,3.00,1.40,1.55,4.00
swap,0.76,0.50,0.26,0.83,0.40,0.43,0.80,0.45,0.35,0.95,-0.35,0.66,4.07,4.25,2.90,1.00,1.45,1.40,4.00
swarm,0.79,0.39,0.40,0.90,0.37,0.53,0.85,0.38,0.47,1.33,-0.36,0.68,3.37,4.72,4.80,2.00,1.85,1.70,5.00
swath,0.55,0.25,0.30,0.77,0.23,0.53,0.66,0.24,0.42,1.11,0.15,0.18,1.64,6.38,2.00,1.00,1.80,1.70,5.00
sway,0.57,0.31,0.26,0.73,0.23,0.50,0.65,0.27,0.38,1.00,0.11,0.67,3.63,4.63,3.80,31.00,1.40,1.35,4.00
swear,0.62,0.18,0.44,0.73,0.03,0.70,0.68,0.11,0.57,1.71,0.39,0.95,4.60,4.16,3.00,5.00,1.65,1.30,5.00
sweat,0.82,0.38,0.44,0.87,0.20,0.67,0.84,0.29,0.55,1.57,-0.23,1.33,4.73,3.28,5.80,2.00,1.70,1.55,5.00
sweep,0.68,0.59,0.09,0.83,0.37,0.47,0.76,0.48,0.28,0.75,-0.32,1.22,3.93,3.44,5.00,14.00,1.70,1.60,5.00
sweet,0.77,0.22,0.54,0.70,0.33,0.37,0.73,0.28,0.46,1.21,-0.02,1.76,5.37,2.75,4.00,12.00,1.60,1.50,5.00
swell,0.83,0.32,0.51,0.87,0.20,0.67,0.85,0.26,0.59,1.67,-0.19,1.01,3.60,4.25,3.90,17.00,1.60,1.40,5.00
swept,0.75,0.52,0.23,0.87,0.47,0.40,0.81,0.49,0.32,0.89,-0.43,1.50,3.93,4.09,4.40,5.00,1.80,1.75,5.00
swerve,0.72,0.07,0.65,0.90,0.07,0.83,0.81,0.07,0.74,2.37,0.30,0.21,3.33,4.84,5.00,4.00,2.00,1.85,6.00
swift,0.79,0.41,0.37,0.93,0.17,0.77,0.86,0.29,0.57,1.63,-0.26,1.23,3.37,4.75,3.30,9.00,1.90,1.85,5.00
swig,0.79,0.28,0.51,0.93,0.33,0.60,0.86,0.30,0.55,1.59,-0.28,0.15,2.80,5.45,3.90,15.00,1.75,1.55,4.00
swim,0.80,0.07,0.73,0.80,0.30,0.50,0.80,0.19,0.61,1.73,0.02,1.77,4.10,2.63,5.60,15.00,1.70,1.50,4.00
swine,0.68,0.21,0.47,0.90,0.30,0.60,0.79,0.25,0.54,1.47,-0.07,0.50,2.83,5.50,5.00,22.00,1.65,1.60,5.00
swing,0.66,0.32,0.33,0.70,0.20,0.50,0.68,0.26,0.42,1.10,0.09,1.39,3.73,2.91,5.80,20.00,1.35,1.10,5.00
swipe,0.86,0.48,0.37,0.87,0.53,0.33,0.86,0.51,0.35,1.07,-0.55,0.26,3.73,4.72,3.60,8.00,1.80,1.80,5.00
swirl,0.79,0.25,0.54,0.93,0.27,0.67,0.86,0.26,0.60,1.74,-0.22,0.53,3.53,3.94,4.30,5.00,1.90,1.75,5.00
switch,0.59,0.36,0.23,0.70,0.30,0.40,0.64,0.33,0.31,0.81,0.04,1.45,5.20,3.94,4.30,14.00,1.75,1.60,6.00
swoop,0.76,0.21,0.54,0.83,0.47,0.37,0.80,0.34,0.46,1.24,-0.21,0.56,2.83,4.06,3.50,12.00,1.70,1.45,5.00
sword,0.89,0.21,0.69,0.93,0.10,0.83,0.91,0.15,0.76,2.38,-0.17,1.39,3.00,3.41,6.80,6.00,1.80,1.00,5.00
swore,0.71,0.24,0.47,0.80,0.13,0.67,0.76,0.19,0.57,1.58,0.10,0.85,4.40,4.13,3.00,21.00,1.55,1.45,5.00
sworn,0.72,0.21,0.51,0.67,0.57,0.10,0.70,0.39,0.30,0.79,-0.12,0.75,3.77,4.75,2.90,11.00,1.70,1.75,5.00
