word_us,n_phon,phono_upoint,pld20_m,pld20_sd,sg_ldt_acc,sg_ldt_acc_n,us_ldt_acc,us_ldt_acc_n,uk_ldt_acc,uk_ldt_acc_n,sg_ldt_zrt_m,sg_ldt_zrt_sd,sg_ldt_zrt_n,us_ldt_zrt_m,us_ldt_zrt_sd,us_ldt_zrt_n,uk_ldt_zrt_m,uk_ldt_zrt_sd,uk_ldt_zrt_n,sg_ldt_zrtmdur_m,sg_ldt_zrtmdur_sd,sg_ldt_zrtmdur_n,us_ldt_zrtmdur_m,us_ldt_zrtmdur_sd,us_ldt_zrtmdur_n,uk_ldt_zrtmdur_m,uk_ldt_zrtmdur_sd,uk_ldt_zrtmdur_n,...30
restaurant,9,7,3.7,0.47016234598162704,1,54,0.969230769,65,1,56,-0.245856843,0.468521654,54,-0.140391411,0.707623626,62,-0.335396891,0.686699877,56,-0.873356613,0.435672311,54,-0.779964255,0.649759252,62,-0.529173731,0.578447059,56,NA
restless,7,8,2.7,0.47016234598162704,0.944444444,54,0.970149254,67,0.98245614,57,-0.253141584,0.543250087,50,-0.171944817,0.604095224,63,-0.409828507,0.41523633,56,-0.340217394,0.530351767,50,-0.49543669,0.637405369,63,-0.54792981,0.413136445,56,NA
restoration,10,7,2.65,0.5871429486124,0.981818182,55,0.939393939,66,0.964912281,57,0.682893894,0.631309398,54,0.232429001,0.60511131,61,0.342618915,0.761049017,55,-0.72516557,0.549107317,54,-0.617020877,0.609393928,61,-0.45367733,0.665442792,55,NA
restore,6,7,2.2,0.410391340834061,1,54,0.954545455,66,1,56,-0.588401956,0.467714075,54,-0.606474349,0.535119825,62,-0.598260919,0.439057764,56,-0.25734564,0.497662772,54,-0.379141049,0.48322284,62,-0.256137822,0.477142624,56,NA
restrain,7,8,2.3,0.656946685331786,0.981132075,53,1,68,0.963636364,55,-0.162161423,0.794222655,50,-0.129157511,0.664148823,65,-0.331251452,0.456150909,53,-0.263359508,0.597949579,50,-0.168200292,0.614084917,65,-0.645913258,0.607512885,53,NA
restraint,8,8,2.55,0.686332741153259,1,53,0.970588235,68,0.963636364,55,-0.27626997,0.76148617,49,-0.141624299,0.65551627,66,-0.210224973,0.586192854,51,-0.219929777,0.73607636,49,-0.47005512,0.777553879,66,-0.346358578,0.592421935,51,NA
restrict,8,9,2.5,0.512989176042577,1,55,0.96969697,66,1,57,-0.394273564,0.504574519,55,-0.212423445,0.432220036,64,-0.432330046,0.590589232,57,-0.098574320000000007,0.503170761,55,-0.486085054,0.406757196,64,-0.672033383,0.642790127,57,NA
result,6,7,2,0,0.981481481,54,1,66,1,57,-0.680429576,0.596632927,53,-0.622285502,0.551410301,64,-0.660147942,0.491452199,55,-0.187402762,0.576349777,53,-0.273113348,0.574882645,64,-0.55602231,0.484992722,55,NA
resume,5,4,2.4,0.502624689950034,0.872727273,55,0.96969697,66,0.929824561,57,-0.624683028,0.474035825,48,-0.601129,0.558839256,62,-0.434796006,0.61135273,52,-0.303576199,0.483905223,48,-0.015359863,0.617215478,62,-0.383916694,0.63052101,52,NA
resurrect,8,8,3.05,0.394034462826206,0.963636364,55,0.939393939,66,0.929824561,57,-0.141825097,0.534655936,51,-0.168120146,0.564618961,59,-0.37919619,0.614522189,53,-0.315037809,0.530810681,51,-0.654654556,0.552863166,59,-0.745476411,0.574169034,53,NA
