Occurrences,Word,LgSUBTLWF,OLD,PLD,I_Mean_RT,I_Zscore,I_Mean_Accuracy
1,parchment,1.602,3.35,3.15,818.92,0.142,0.74
1,pardon,3.518,1.9,1.75,770.03,-0.3,1
1,parental,2.025,2.75,3.75,700.576,-0.313,1
1,parenthood,1.613,3.95,4.65,696.094,-0.213,0.94
1,pariah,1.322,2.35,2.8,783.917,0.112,0.4
1,parka,1.505,1.9,1.85,708.6,0.069,0.61
1,parking,3.14,1.8,1.85,650.935,-0.503,1
1,parliament,2.061,3.65,2.8,815.759,0.172,0.88
1,parlor,2.483,1.9,1.9,665.448,-0.45,0.83
1,parody,1.568,2.3,1.85,791.267,-0.037,0.91
1,parole,2.728,2,2.2,682.267,-0.314,0.88
1,parrot,2.225,1.9,1.5,696.939,-0.46,1
1,part,4.125,1,1.05,654.938,-0.495,0.97
1,partake,1.699,2.65,2.35,895.185,0.197,0.84
1,partial,2.394,2.4,1.75,747.545,-0.299,1
1,participant,1.491,3.5,4.7,651.697,-0.462,1
1,participate,2.352,2.9,4.2,698.606,-0.179,1
1,participation,2.009,3.55,4.85,710.029,-0.274,0.97
1,particle,1.964,2.65,2.6,674.061,-0.271,0.97
1,parting,2.068,1.7,1.75,716.75,-0.234,0.97
1,partition,1.415,2.85,2.75,815.897,0.112,0.88
1,partner,3.584,2.2,2.45,614.935,-0.668,0.97
1,partnership,2.433,4.5,4.65,704.576,-0.343,1
1,partridge,2.24,3.3,3.25,845.08,0.104,0.76
1,pass,3.741,1.25,1,559.848,-0.776,1
1,passage,2.592,2.35,2.15,721.647,-0.252,1
1,passageway,1.785,4.4,4.5,880.265,0.168,1
1,passenger,2.74,3.3,3.5,694.323,-0.381,0.91
1,passion,3.004,2.15,1.75,589.545,-0.578,0.94
1,passionate,2.487,3.55,2.7,710.515,-0.251,1
1,passkey,1.477,2.75,2.9,866.846,0.287,0.39
1,passport,2.728,3.2,3.65,685.788,-0.287,1
1,password,2.611,3.35,3.25,614.471,-0.654,1
1,pastime,1.623,2.45,2.7,710.382,-0.172,1
1,pastor,2.342,1.9,1.4,664.281,-0.495,0.97
1,pastrami,1.699,3.5,3.85,"1,026.571",0.628,0.64
1,pasture,1.898,2,1.85,741.516,-0.212,0.89
1,pasty,1.505,1.55,1.7,674.867,-0.317,0.91
1,patent,2.104,1.75,1.95,749.152,-0.207,1
1,patented,1.623,2.65,3.35,712.067,-0.079,0.88
1,paternal,1.623,2.55,2.65,878.586,0.096,0.88
1,paternity,1.699,3.2,3.25,765.6,-0.094,0.88
1,pathetic,3.092,2.8,2.6,678.125,-0.3,0.94
1,pathologist,1.623,3.65,3.85,830.848,0.074,1
1,pathology,1.869,3.2,2.8,713.294,-0.093,1
1,pathway,1.771,2.75,2.75,704.5,-0.43,1
1,patience,2.895,2.85,2.2,673.147,-0.403,1
1,patient,3.511,2.25,2,577.848,-0.709,1
1,patio,2.127,1.95,1.8,661.188,-0.423,0.97
1,patriot,2.127,2.6,2.85,652.545,-0.551,1
1,patriotic,2.083,3.35,4.35,773.161,-0.1,0.94
1,patrolman,1.799,3.55,3.65,848.593,0.161,0.79
1,patronize,1.909,3.25,3.3,830.25,-0.078,0.97
1,patter,1.568,1.4,1,803.231,0.166,0.76
1,pattern,2.869,1.9,1.75,586.029,-0.583,1
1,pauper,1.415,1.9,1.8,829.958,0.142,0.73
1,pause,2.441,1.75,1.1,581.531,-0.69,0.97
1,pavilion,1.699,2.95,3,775.586,0.207,0.85
1,pawnshop,1.623,3.95,3.6,785.094,-0.07,0.97
1,pay,4.114,1,1,579.576,-0.726,1
1,payable,1.591,2.3,1.95,667.548,-0.371,0.91
1,payday,2.111,2.7,2.65,576.03,-0.653,0.94
1,payload,1.505,2.95,2.8,722.212,-0.154,0.94
1,payoff,2.057,2.75,2.65,738.143,-0.373,1
1,payroll,2.412,2.85,2.9,624.706,-0.522,1
1,peace,3.55,1.8,1,661.758,-0.587,1
1,peaceful,2.759,2.85,2.4,684.29,-0.467,1
1,peacetime,1.362,3.45,2.7,786.667,-0.094,0.97
1,peanuts,2.587,2.75,3.1,551.853,-0.705,1
1,pearly,1.716,1.7,1.6,758.64,-0.098,0.74
1,peasant,2.314,2.5,2.05,708.727,-0.419,0.97
1,pebble,1.819,2.05,1.65,735.806,-0.185,0.94
1,pecan,1.69,1.95,1.95,665.312,-0.266,0.94
1,peculiar,2.587,3.3,4.2,747.138,-0.098,0.91
1,pedal,2.021,1.75,1.2,619,-0.507,0.97
1,peddler,1.491,2.25,2.15,675.719,-0.308,1
1,pedestal,1.833,3.45,3.9,808.774,0.138,0.97
1,pedestrian,1.857,4.05,4.3,737.781,-0.221,0.97
1,pedicure,1.653,3.05,3.7,782.118,0.003,1
1,pedigree,1.602,3.7,2.85,742.588,-0.209,1
1,peekaboo,1.763,4.35,3.9,789.621,-0.131,0.85
1,peep,2.356,1.35,1,626.062,-0.538,0.94
1,peeper,1.681,1.8,1.55,686.538,-0.258,0.76
1,peephole,1.398,3.7,3.05,826.467,0.031,0.86
1,pelican,1.954,2.9,2.9,728.968,-0.151,0.91
1,pelvis,2.017,2.5,2.55,712.312,-0.25,0.97
1,penal,1.826,1.75,1.8,752.44,0.086,0.83
1,penalty,2.667,2.85,2.8,657.176,-0.481,1
1,penance,1.869,2.6,2.1,700.85,-0.244,0.61
1,pendant,1.672,2.45,2.05,760.062,0.015,0.97
1,pending,2.243,1.6,1.35,674.5,-0.281,0.91
1,pendulum,1.447,3.9,4.2,767.286,-0.089,0.82
1,penetrate,2.167,2.7,2.95,794.118,-0.102,1
1,penetration,1.863,2.8,2.95,832.031,0.093,0.97
1,penicillin,2.1,4.85,4.95,798.71,0.087,0.89
1,peninsula,1.851,4.5,4.1,789.452,-0.123,0.94
1,penmanship,1.462,4.6,4.35,"1,001.455",0.686,0.76
1,pennant,1.591,2.5,1.65,752.633,-0.057,0.88
1,penniless,1.806,3.3,2.7,734.433,-0.074,0.88
1,pension,2.394,2.1,1.85,677.969,-0.438,0.97
1,pentagram,1.699,3.85,3.6,910.615,0.39,0.76
1,penthouse,2.365,3.25,3.9,700.941,-0.261,1
1,people,4.75,2.3,1.8,540.853,-0.763,1
1,peppermint,1.857,3.8,4.35,799.938,-0.035,0.94
1,pepperoni,2.121,4.05,4.6,850.618,0.116,0.97
1,perceive,1.875,2.65,2.45,698.618,-0.313,1
1,percent,3.119,2.5,2.6,659.559,-0.561,1
1,percentage,2.286,3.5,3.65,696.667,-0.324,0.97
1,percentile,1.532,3.25,4.15,740.733,0.004,0.91
1,perception,2.258,2.6,2.8,703.152,-0.208,0.97
1,percussion,1.477,2.75,2.95,819.296,0.318,0.79
1,perfectionist,1.613,4,4.35,855.485,0.38,0.97
1,perform,2.915,2.65,2.45,706.647,-0.339,1
1,performance,3.047,4,3.35,752.406,-0.208,1
1,performer,2.093,2.7,3,703.636,-0.341,1
1,peril,1.996,1.95,1.85,738.259,-0.146,0.84
1,perilous,1.613,2.8,2.45,819.037,0.136,0.77
1,perimeter,2.665,3,3.55,775.871,0.004,0.97
1,period,3.152,2.5,2,581.781,-0.668,1
1,peripheral,1.699,4.45,4.8,776.719,-0.008,0.97
1,periscope,1.851,3.7,3.7,714.52,-0.095,0.81
1,perish,2.124,1.95,1.75,638.594,-0.511,0.97
1,perjury,2.064,2.8,2.7,742.68,-0.032,0.76
1,perk,1.863,1.45,1.3,657.065,-0.255,0.94
